formatted_date,IBM,RR.L,EBAY,INTC,NKE
19/11/15,113.4775543,503.1416016,28.21250916,30.5806427,59.55302429
20/11/15,114.938118,513.3718262,28.49689102,30.90159988,62.80577087
23/11/15,114.9049454,529.182251,28.28115273,30.74112129,62.71579742
24/11/15,115.0211334,546.8526611,28.43805313,30.63413811,62.73947525
25/11/15,114.523201,564.5231323,28.43805313,30.71437836,63.50651932
27/11/15,114.9049454,564.0581055,28.53611565,30.72328758,63.60120392
30/11/15,115.701622,564.0581055,29.01662064,30.99967003,62.63057327
1/12/15,117.2452087,561.7329712,28.48708344,31.28498268,63.11824036
2/12/15,115.9339905,558.9428711,28.40863609,31.05318069,62.80577087
3/12/15,115.2866898,556.6178589,28.0359993,30.34884262,61.13441467
4/12/15,116.5397797,552.8977661,28.78127289,31.1512413,62.6542511
7/12/15,115.8095169,567.7781372,28.48708344,31.19582176,62.6114502
8/12/15,114.5647278,548.7127075,28.23212051,30.98184586,62.65901184
9/12/15,113.3696671,538.017395,27.79084396,31.03534698,61.29831314
10/12/15,113.5107498,527.3221436,28.01638603,30.99967003,61.20314789
11/12/15,111.6767273,513.3718262,27.42801094,30.55389977,60.08509827
14/12/15,112.8053589,499.8865662,27.49665642,30.73221016,60.83205414
15/12/15,114.3489227,502.2115784,27.7614212,31.36522102,61.18888474
16/12/15,115.59375,526.8571777,28.01638603,31.4722023,62.2926712
17/12/15,113.4858551,533.3673096,27.50645828,31.12450218,61.95486832
18/12/15,111.9505844,536.1573486,26.92789268,30.19726372,61.14606094
21/12/15,112.4485092,529.6472168,27.05537605,30.52714348,61.75505447
22/12/15,114.4650955,525.927063,27.34956169,30.96401215,62.73039246
23/12/15,114.9713287,549.1777344,27.2416935,31.20473862,61.2364502
24/12/15,114.7306595,,27.12401962,31.18690491,60.11840439
28/12/15,114.1995392,,27.10440445,31.14233208,60.7178688
29/12/15,116.0004044,545.4575806,27.36917686,31.59702301,61.14606094
30/12/15,115.6352463,538.9473877,27.21227646,31.19582176,60.185009
31/12/15,114.2078552,,26.94750404,30.71437836,59.47135162
4/1/16,112.8219604,520.8120728,25.9178524,30.30425835,58.53883743
5/1/16,112.7389755,524.9970703,25.61386108,30.16160011,59.35716629
6/1/16,112.1746674,520.8120728,25.89824104,29.492939,58.51029205
7/1/16,110.257637,507.791748,25.19219208,28.38739967,56.94976425
8/1/16,109.2368927,520.3470459,25.25102806,28.0931778,56.01724625
11/1/16,110.5646744,513.3718262,25.59424782,28.58353806,56.6642952
12/1/16,110.2908173,517.09198,25.70211601,29.13630486,57.03540421
13/1/16,108.8551254,521.2770996,24.91761971,28.44980431,55.93161392
14/1/16,110.2991333,517.5569458,25.35889626,29.18980598,55.67470169
15/1/16,107.9090576,505.9317322,24.77052498,26.53294373,54.77072525
19/1/16,106.3157043,511.5118103,25.27064514,26.56860352,55.49390411
20/1/16,101.1289673,493.8413696,25.31967354,26.38137436,56.17902374
21/1/16,102.0003433,497.0964966,25.58444214,26.44378662,57.62535477
22/1/16,101.6601028,505.001709,25.9178524,26.68450737,57.92985153
25/1/16,101.3115311,505.9317322,25.63347054,26.39029121,57.75857162
26/1/16,101.7347794,505.4667358,26.13358879,26.69342232,58.14870834
27/1/16,100.3820801,501.7466125,25.90804863,26.57752228,56.69284821
